arizona-cardinals:Arizona Cardinals:4412
atlanta-falcons:Atlanta Falcons:4393
baltimore-ravens:Baltimore Ravens:4413
buffalo-bills:Buffalo Bills:4414
carolina-panthers:Carolina Panthers:4415
chicago-bears:Chicago Bears:4391
cincinnati-bengals:Cincinnati Bengals:4416
cleveland-browns:Cleveland Browns:4417
dallas-cowboys:Dallas Cowboys:4392
denver-broncos:Denver Broncos:4418
detroit-lions:Detroit Lions:4419
green-bay-packers:Green Bay Packers:4420
houston-texans:Houston Texans:4324
indianapolis-colts:Indianapolis Colts:4421
jacksonville-jaguars:Jacksonville Jaguars:4386
kansas-city-chiefs:Kansas City Chiefs:4422
las-vegas-raiders:Las Vegas Raiders:4390
los-angeles-chargers:Los Angeles Chargers:4429
los-angeles-rams:Los Angeles Rams:4387
miami-dolphins:Miami Dolphins:4287
minnesota-vikings:Minnesota Vikings:4423
new-england-patriots:New England Patriots:4424
new-orleans-saints:New Orleans Saints:4425
new-york-giants:New York Giants:4426
new-york-jets:New York Jets:4427
philadelphia-eagles:Philadelphia Eagles:4428
pittsburgh-steelers:Pittsburgh Steelers:4345
san-francisco-49ers:San Francisco 49ers:4389
seattle-seahawks:Seattle Seahawks:4430
tampa-bay-buccaneers:Tampa Bay Buccaneers:4388
tennessee-titans:Tennessee Titans:4431
washington-commanders:Washington Commanders:4432
